Id,Contacts_Id,Type,Number,Code,Other_Number,Location,Supplier,Tariff,Units,Bill_Frequency,Comments,Group_1,Group_2,Last_Update,Last_User,Target_01,Target_02,Target_03,Target_04,Target_05,Target_06,Target_07,Target_08,Target_09,Target_10,Target_11,Target_12,TargetCost_01,TargetCost_02,TargetCost_03,TargetCost_04,TargetCost_05,TargetCost_06,TargetCost_07,TargetCost_08,TargetCost_09,TargetCost_10,TargetCost_11,TargetCost_12,BestfitAdjustmentGradient,BestfitAdjustmentIntercept,BestfitAdjustmentCorrelation,BestfitAdjustmentUpdate,BestfitTargetGradient,BestfitTargetIntercept,BestfitTargetCorrelation,BestfitTargetUpdate,BestfitCusumGradient,BestfitCusumIntercept,BestfitCusumCorrelation,BestfitCusumUpdate,DisableAdjustment,Closed,Format,Import_Link_Code,Import_Link_Code_Direct,Import_Link_Code_Profile,DataAdjustment,Profile_Scale_Factor,SubMeter,Profile_Meter,Profile_Meter_Max,Flag_Invoice,Flag_Direct,Flag_Profile,Code2,MeterSize,Updates,kWh_Factor,M1_Code1,M2_Code1,M3_Code1,M4_Code1,M5_Code1,M6_Code1,M7_Code1,M8_Code1,M1_Code2,M2_Code2,M3_Code2,M4_Code2,M5_Code2,M6_Code2,M7_Code2,M8_Code2,M1_Code3,M2_Code3,M3_Code3,M4_Code3,M5_Code3,M6_Code3,M7_Code3,M8_Code3,Host_Supplier,Voltage,VAT_Rate,Direct_Meter_View,Custom,kVA,SOQ_Peak,SOQ_Minimum,Profile_Frequency,Annual_Quantity,Number_Data_Loggers,Interruptible,Point_Id_Account,PowerFactor,Dial_Data,Meter_Type,Meter_Type_Capacity,SOQ_Alternative,Aggregate_Meter,Profile_Cost_Rate,Class_Type,TariffCCLRate,Note,Number_1,Virt_Invoice,Virt_Direct,Virt_Profile,Exclude_From_Reports,Exclude_From_Reports_Direct,Exclude_From_Reports_Profile,Meter_Operator,Closed_Date,Supply_Hourly_Quantity,Gas_Meter_Size,Web_Upload,Link_1,Link_2,Link_3,Sewerage_Supplier,Profile_kWh_Factor,Profile_Calorific_Value,Profile_Correction_Factor,Checksum,FailValidation,Disable_Web_Readings,NI_Boiler_Type,User_Number_1,User_Number_2,User_Number_3,User_Text_1,User_Text_2,User_Text_3,User_Text_4,User_Text_5,User_Date_1,User_Date_2,User_Date_3,Meter_Digits,Maximum_Alarm_Value,Web_Consumptions,Waste_Type,Waste_Disposal_Route,Waste_Bins,Waste_Hazardous,Invoice_Validation_Profile_Id,TimeSeriesEnabled,Profile_Threshold_1,Profile_Threshold_2,Water_Supplier,Meter_Asset_Manager,EAC,Nominated_SOQ,User_Date_4,Landlord_Billed,Return_To_Sewer,User_Text_6,User_Text_7,User_Text_8,User_Text_9,User_Text_10,Water_Wholesale_Tariff,Sewerage_Wholesale_Tariff,Surface_Water,Highway_Drainage,Meter_Size_2,Rota_Disconnection_Alpha_Identifier,MHHS_Applied,M1_Code4,M2_Code4,M3_Code4,M4_Code4,M5_Code4,M6_Code4,M7_Code4,M8_Code4
1,1,Electricity,3585295347,NULL,NULL,NULL,EDF,NULL,kWh,1,NULL,0,0,2022-12-20 09:43:38.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,1012462610266,1012462610266,1012462610266,0,0,0,0,0,1,1,1,,0,"20/12/2022 Number : SA981556766
22/06/2022 MPAN (Profile) / Sewerage SPID 1 : 03-801-201
15/04/2021 Supplier : SSE",0,1012462610266,,,,,,,,D13C19337,,,,,,,,03-801-202,,,,,,,,Seeboard,NULL,0,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-135913878,0,0,0,0,0,0,,N,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,9,0,NULL,NULL,NULL,NULL,16272,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,801,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,5,Gas,SA521539770,NULL,NULL,ZERO consumption meter,SSE,NULL,kWh,3,NULL,0,0,2022-06-21 09:07:11.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,9087960606,9087960606,9087960606,0,0,0,0,0,1,1,1,,0,02/06/2016 Meter Serial 1 : 9087960606,0,9087960606,,,,,,,,G4A05172730101,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2020-06-30 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,1636505687,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,8,Gas,L027774,NULL,NULL,NULL,Crown,NULL,kWh,1,NULL,0,0,2023-05-25 16:18:43.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,1801151900,1801151900,1801151900,0,0,0,0,0,1,1,1,,0,"16/11/2022 Reference Number : SA181566474
16/03/2018 Meter Serial 1 : G4W00806041002",0,1801151900,,,,,,,,G4A04777360801,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,24535,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,242361989,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,28,Gas,SA701619298,NULL,NULL,Removed 08/08/2022,Crown,NULL,kWh,1,NULL,0,0,2023-04-19 16:21:39.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,581352009,581352009,581352009,0,0,0,0,0,1,1,1,,0,,0,581352009,,,,,,,,E0060798 95 03,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,1,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-1990495855,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,352,Gas,SA821621335,NULL,NULL,GAS METER REMOVED 14/08/2018,SSE,NULL,kWh,3,NULL,0,0,2021-01-28 13:57:25.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,57158910,57158910,57158910,0,0,0,0,0,1,1,1,,0,12/09/2018 Location : ZERO consuming meter,0,57158910,,,,,,,,63731,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2018-09-12 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-627012280,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,45,Gas,SA581535458,NULL,NULL,ZERO consuming meter,SSE,NULL,kWh,3,NULL,0,0,2022-06-21 08:56:46.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,1340193709,1340193709,1340193709,0,0,0,0,0,1,1,1,,0,,0,1340193709,,,,,,,,132527,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2020-08-31 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,856480817,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,52,Gas,L027790,NULL,NULL,NULL,Crown,NULL,kWh,1,NULL,0,0,2023-05-25 16:18:46.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,1895520307,1895520307,1895520307,0,0,0,0,0,1,1,1,,0,"16/11/2022 Reference Number : SA201566012
",0,1895520307,,,,,,,,228902,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,8584,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-1109638045,0,0,0,0,0,0,,not able to be installed (elec meter too close),02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,352,Gas,SA151535396,NULL,NULL,METER REMOVED 15 OCT 2018,SSE,NULL,kWh,3,NULL,0,0,2021-01-28 13:58:44.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,2451944205,2451944205,2451944205,0,0,0,0,0,1,1,1,,0,,0,2451944205,,,,,,,,8002167S,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,1,1,1,NULL,2018-10-31 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,1587911886,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,57,Gas,SA361535105,NULL,NULL,ZERO consuming meter,Crown,NULL,kWh,3,NULL,0,0,2022-07-11 12:02:50.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,1110852309,1110852309,1110852309,0,0,0,0,0,1,1,1,,0,07/01/2021 Supplier : SSE,0,1110852309,,,,,,,,4393338,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,1,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2022-03-21 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-94457347,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,61,Gas,L027788,NULL,NULL,NULL,Crown,NULL,kWh,1,NULL,0,0,2023-02-09 14:54:30.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,71143306,71143306,71143306,0,0,0,0,0,1,1,1,,0,"16/11/2022 Reference Number : SA611550991
",0,71143306,,,,,,,,M025A0003809A6,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,10056,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,2036031197,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,69,Gas,SA921533902,NULL,NULL,ZERO consuming meter,SSE,NULL,kWh,3,NULL,0,0,2022-06-13 13:48:16.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,1554055300,1554055300,1554055300,0,0,0,0,0,1,1,1,,0,,0,1554055300,,,,,,,,216410,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2016-11-28 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-454134269,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,352,Gas,SA891533920,NULL,NULL,GAS METER REMOVED 28/8/2018,SSE,NULL,kWh,3,NULL,0,0,2021-01-28 14:00:43.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,1636763007,1636763007,1636763007,0,0,0,0,0,1,1,1,,0,11/01/2019 Location : ZERO consuming meter,0,1636763007,,,,,,,,139602,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,3386785,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,71,Gas,L027777,NULL,NULL,NULL,Crown,NULL,kWh,1,NULL,0,0,2023-05-25 16:18:33.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,1030614803,1030614803,1030614803,0,0,0,0,0,1,1,1,,0,"10/03/2023 Number : L036888
07/03/2023 Number : L027777
16/11/2022 Reference Number : SA731552340
13/08/2020 Meter Serial 1 : 14001021",0,1030614803,,,,,,,,E040K0264419D6,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,92545,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,530816410,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,75,Gas,NULL,NULL,NULL,NULL,SSE,NULL,kWh,3,NULL,0,0,2022-07-11 12:02:27.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,9192850205,9192850205,9192850205,0,0,0,0,0,1,1,1,,0,11/07/2022 Number : SA581535459,0,9192850205,,,,,,,,G4A01567180701,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,52,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2020-09-30 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-806378961,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,88,Gas,L027792,NULL,NULL,NULL,Crown,NULL,kWh,30,NULL,0,0,2023-05-25 16:19:05.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,3011895510,3011895510,3011895510,0,0,0,0,0,1,1,1,,0,11/07/2022 Number : SA071534701,0,3011895510,,,,,,,,207851,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,7073,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,2076992560,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,114,Gas,L027789,NULL,NULL,NULL,Crown,NULL,kWh,0,NULL,0,0,2023-03-21 13:33:01.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,16338703,16338703,16338703,0,0,0,0,0,1,1,1,,0,"16/11/2022 Reference Number : SA741545070
",0,16338703,,,,,,,,M016A0316308A6,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,871,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2022-12-31 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,553105970,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,121,Gas,SA731541567,NULL,NULL,NULL,Crown,NULL,kWh,3,NULL,0,0,2023-03-21 13:31:44.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,9192954408,9192954408,9192954408,0,0,0,0,0,1,1,1,,0,,0,9192954408,,,,,,,,M016A0125107A6,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,6770,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2023-03-21 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-1930959327,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,352,Gas,SA471534275,NULL,NULL,METER REMOVED 5/9/2018,SSE,NULL,kWh,3,NULL,0,0,2021-01-28 14:01:44.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,1282232305,1282232305,1282232305,0,0,0,0,0,1,1,1,,0,15/02/2019 Location : ZERO consuming meter,0,1282232305,,,,,,,,4745990,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-1820791595,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,131,Gas,L027780,NULL,NULL,NULL,Crown,NULL,kWh,1,NULL,0,0,2023-05-25 16:18:37.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,1267414010,1267414010,1267414010,0,0,0,0,0,1,1,1,,0,"16/11/2022 Reference Number : SA861535487
13/06/2016 Meter Serial 1 : 1524591402
",0,1267414010,,,,,,,,U6S01524591402,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,73034,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,556353535,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,140,Gas,L027772,NULL,NULL,NULL,Crown,NULL,kWh,1,NULL,0,0,2023-05-25 16:18:49.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,2068387807,2068387807,2068387807,0,0,0,0,0,1,1,1,,0,11/07/2022 Number : SA171578226,0,2068387807,,,,,,,,875,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,31387,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,1898282996,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,143,Gas,L027786,NULL,NULL,NULL,Crown,NULL,kWh,1,NULL,0,0,2023-03-14 16:38:38.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,9097899501,9097899501,9097899501,0,0,0,0,0,1,1,1,,0,11/07/2022 Number : SA291550859,0,9097899501,,,,,,,,G4A03399920301,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,14319,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,75127701,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,146,Gas,L027766,NULL,NULL,NULL,Crown,NULL,kWh,1,NULL,0,0,2023-05-25 16:18:21.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,58597302,58597302,58597302,0,0,0,0,0,1,1,1,,0,"16/11/2022 Reference Number : SA951534594
",0,58597302,,,,,,,,7908825,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,278813,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-2099628548,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,163,Gas,L027779,NULL,NULL,NULL,Crown,NULL,kWh,1,NULL,0,0,2023-05-25 16:19:39.000,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,9328369410,9328369410,9328369410,0,0,0,0,0,1,1,1,,0,"16/11/2022 Reference Number : SA711617136
",0,9328369410,,,,,,,,0233894S,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,4646,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,1637510137,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,165,Gas,L027771,NULL,NULL,NULL,Crown,NULL,kWh,1,NULL,0,0,2023-03-09 15:34:53.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,,2127943003,2127943003,2127943003,0,0,0,0,0,1,1,1,,0,"16/11/2022 Reference Number : SA401565739
15/04/2020 Meter Serial 1 : 7532619S",0,2127943003,,,,,,,,G4K00324371801,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,5354,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-1755698305,0,0,0,0,0,0,,Y,02/08/2022,,,NULL,NULL,NULL,NULL,0,0,,,0,0,10,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
